QuestionId,Question,Response,Count
Q46,Do you regularly look at the feedback provided?,Yes,39.0
Q46,Do you regularly look at the feedback provided?,No,32.0
Q14,Are you aware of how many node-hours your workflows/jobs consume?,Yes,148.0
Q14,Are you aware of how many node-hours your workflows/jobs consume?,No,55.0
Q15,Have you taken steps to reduce the amount of node-hours consumed by a job?,Yes,142.0
Q15,Have you taken steps to reduce the amount of node-hours consumed by a job?,No,62.0
Q19,Have you taken steps to reduce the amount of energy a job consumes?,No,132.0
Q19,Have you taken steps to reduce the amount of energy a job consumes?,Yes,54.0
Q41,Does any computing facility you use provide feedback on the resource utilization of a job?,No,112.0
Q41,Does any computing facility you use provide feedback on the resource utilization of a job?,Yes,71.0
Q22_6,How important were each of the following factors when choosing a computing resource to use? - Software Available,3 (Very Important),80.0
Q22_6,How important were each of the following factors when choosing a computing resource to use? - Software Available,2,56.0
Q22_6,How important were each of the following factors when choosing a computing resource to use? - Software Available,1 (Not important),41.0
Q33_5,How influential were the following factors when selecting which programming language to use? - Prior Experience,3 (Very Important),103.0
Q33_5,How influential were the following factors when selecting which programming language to use? - Prior Experience,2,56.0
Q33_5,How influential were the following factors when selecting which programming language to use? - Prior Experience,1 (Not important),19.0
Finished,Finished,True,169.0
Finished,Finished,False,147.0
Q20_1,Are you aware of how the HPC resources you use perform on the following sustainability metrics? (Some metrics may not be applicable to your resources) - Green500 Ranking,No,133.0
Q20_1,Are you aware of how the HPC resources you use perform on the following sustainability metrics? (Some metrics may not be applicable to your resources) - Green500 Ranking,Yes,36.0
Q20_1,Are you aware of how the HPC resources you use perform on the following sustainability metrics? (Some metrics may not be applicable to your resources) - Green500 Ranking,Not Applicable,13.0
Q43,"Approximately how many node hours do you use in a year (across cloud and computing clusters, not including personal desktops/laptops)?",100-500,45.0
Q43,"Approximately how many node hours do you use in a year (across cloud and computing clusters, not including personal desktops/laptops)?",1000-5000,44.0
Q43,"Approximately how many node hours do you use in a year (across cloud and computing clusters, not including personal desktops/laptops)?",10000+,43.0
Q43,"Approximately how many node hours do you use in a year (across cloud and computing clusters, not including personal desktops/laptops)?",500-1000,39.0
Q43,"Approximately how many node hours do you use in a year (across cloud and computing clusters, not including personal desktops/laptops)?",0-100,25.0
Q43,"Approximately how many node hours do you use in a year (across cloud and computing clusters, not including personal desktops/laptops)?",5000-10000,22.0
Q35,Are you aware of the average memory utilization of your job?,Yes,105.0
Q35,Are you aware of the average memory utilization of your job?,No,79.0
Q20_2,Are you aware of how the HPC resources you use perform on the following sustainability metrics? (Some metrics may not be applicable to your resources) - SPEC Server Efficiency Rating Scores,No,162.0
Q20_2,Are you aware of how the HPC resources you use perform on the following sustainability metrics? (Some metrics may not be applicable to your resources) - SPEC Server Efficiency Rating Scores,Not Applicable,12.0
Q20_2,Are you aware of how the HPC resources you use perform on the following sustainability metrics? (Some metrics may not be applicable to your resources) - SPEC Server Efficiency Rating Scores,Yes,8.0
Q22_5,How important were each of the following factors when choosing a computing resource to use? - Energy Efficiency,1 (Not important),92.0
Q22_5,How important were each of the following factors when choosing a computing resource to use? - Energy Efficiency,2,63.0
Q22_5,How important were each of the following factors when choosing a computing resource to use? - Energy Efficiency,3 (Very Important),25.0
Q21_3,Are you familiar with the following resources or metrics? - Vendor Fact Sheets,No,127.0
Q21_3,Are you familiar with the following resources or metrics? - Vendor Fact Sheets,Yes,55.0
Q16,How concerned are you about completing your jobs within the time/resources you have been allocated?,Very concerned,84.0
Q16,How concerned are you about completing your jobs within the time/resources you have been allocated?,Mildly concerned,82.0
Q16,How concerned are you about completing your jobs within the time/resources you have been allocated?,Not concerned,38.0
Q17,Now only consider your most common application. Are you aware of how much energy a job consumed while running?,No,135.0
Q17,Now only consider your most common application. Are you aware of how much energy a job consumed while running?,Yes,51.0
Q34,Are you aware of the CPU utilization of your job?,Yes,101.0
Q34,Are you aware of the CPU utilization of your job?,No,85.0
Q22_3,How important were each of the following factors when choosing a computing resource to use? - Hardware Available,3 (Very Important),122.0
Q22_3,How important were each of the following factors when choosing a computing resource to use? - Hardware Available,2,39.0
Q22_3,How important were each of the following factors when choosing a computing resource to use? - Hardware Available,1 (Not important),19.0
Q13,What is the average size of the jobs you run on HPC resources?,2 - 10 nodes,80.0
Q13,What is the average size of the jobs you run on HPC resources?,1 node,64.0
Q13,What is the average size of the jobs you run on HPC resources?,10 -100 nodes,31.0
Q13,What is the average size of the jobs you run on HPC resources?,< 1 node,17.0
Q13,What is the average size of the jobs you run on HPC resources?,100 - 1000 nodes,9.0
Q13,What is the average size of the jobs you run on HPC resources?,1000+ nodes,4.0
Q22_7,How important were each of the following factors when choosing a computing resource to use? - Ease of Use,3 (Very Important),75.0
Q22_7,How important were each of the following factors when choosing a computing resource to use? - Ease of Use,2,53.0
Q22_7,How important were each of the following factors when choosing a computing resource to use? - Ease of Use,1 (Not important),50.0
Q21_4,Are you familiar with the following resources or metrics? - Carbon Intensity of the Site/Location,No,133.0
Q21_4,Are you familiar with the following resources or metrics? - Carbon Intensity of the Site/Location,Yes,50.0
Q22_8,How important were each of the following factors when choosing a computing resource to use? - Prior Experience,2,71.0
Q22_8,How important were each of the following factors when choosing a computing resource to use? - Prior Experience,3 (Very Important),60.0
Q22_8,How important were each of the following factors when choosing a computing resource to use? - Prior Experience,1 (Not important),47.0
Q25_1,What percent of your jobs would it be acceptable to delay to each given deadline? - No Delay / ASAP,0-25%,73.0
Q25_1,What percent of your jobs would it be acceptable to delay to each given deadline? - No Delay / ASAP,75-100%,45.0
Q25_1,What percent of your jobs would it be acceptable to delay to each given deadline? - No Delay / ASAP,25-50%,28.0
Q25_1,What percent of your jobs would it be acceptable to delay to each given deadline? - No Delay / ASAP,50-75%,25.0
